"Id","Sentiment","Text"
86,"neutral","haha . yang baru-baru sih sudah tidak begitu terlihat absurd nya . yang rog baru malah logo mata doang keren jadi nya . lenovo legion yang baru malah lebih-lebih lagi elegan nya . kalau saya pribadi sih suka ."
87,"neutral","big cola itu enak banget . aku suka . dia tidak jauh beda enak nya dengan minuman cola lain . ditambah dia itu harga nya lebih murah . luv banget buat orang yang suka cola kayak aku ."
88,"neutral","sumpah big cola jauh banget lebih enak daripada coca cola ! tidak terlalu manis dan tidak menyisakan pait di mulut seperti coke zero . wkwk norak ya gue baru mencoba . tapi asli enak banget ."
89,"neutral","aku sayang banget sama susu ultramilk . rasanya tiap ke indomaret tidak pernah tidak beli susu itu . enak . ketagihan ."
90,"neutral","oppo f7 menurut gue mantap banget sih . mulai dari kamera depan nya yang bersih . terus layar nya penuh display pakai gorilla glass 5 . lalu kamera belakang nya naik tingkat banget dari yang sebelumnya . tidak menyesal gue beli ini hp ."
91,"neutral","sarapan nya enak dan pilihan nya lumayan banyak . kamar baik . ac - nya juga dingin . hotel aston gue rekomendasikan sih buat kalian-kalian yang mau menginap di hotel ."
92,"neutral","kolam renang di hotel aston bikin tidak mau berenti berenang . nyaman banget . air nya bersih . tempat bilas nya nyaman ."
93,"neutral","wah keren ya persiapan bni . saya juga mendukung . semoga bisa berjalan lancar ."
94,"neutral","lebih enak lagi kalau nasi padang oreo momogi chocolatos . terus semua itu di campur di aduk pakai tangan ? baru dimakan . enak banget ."
95,"neutral","sudah lama tidak minum ultra milk rasa stroberi . pas sekarang minum merasa enak sekali tidak tahu kenapa . ketagihan . rasanya ingin beli sekardus gede buat diminum sendiri ."
96,"neutral","saya senang di bali bagus pelayanan go-jek - nya . sangat terbantu dengan keberadaan nya . memang harus ada terus supaya pelayanan nya semakin memuaskan ."
97,"neutral","kalau driver go jek tidak pelayanan prima meminta bungkus acar untuk mengambil saos tambahan hilang nafsu makan saya . bravo driver go jek ."
98,"neutral","banyak alasan saya bisa merasa puas dengan pelayanan go jek . go jek tidak pernah lepas dari tanggung jawab . itu adalah nilai plus yang belum tentu dimiliki oleh perusahaan yang lain ."
99,"neutral","go jek selalu jadi inspirasi untuk perusahaan-perusahaan di indonesia . pelayanan nya bravo . selalu berkembang setiap waktu dan memberi kemudahan bagi pelanggan ."
100,"neutral","suka sama hotel ibis . dia selalu bikin inovasi buat menjaga kenyamanan pelanggan . selalu konsisten juga memberi pelayanan yang terbaik untuk tamu ."
101,"neutral","terima kasih atas saran yang kamu berikan kak . kami akan selalu berusaha untuk meningkatkan pelayanan kami untuk pengalaman belanja yang lebih menyenangkan ya ."
102,"neutral","cocok banget gue pakai shope . sudah mana ongkos kirim gratis . pengiriman juga aman dan lancar ."
103,"neutral","harus belanja di shopee karena pelayanan dari shope itu benar benar memuaskan pelanggan dan takkan mengecewakan ."
104,"neutral","karena hanya shope yang pelayanan nya memuaskan . diskon besar-besaran . barang nya juga pasti nya bermerek . mantap ."
105,"neutral","shopee tidak pernah mengecewakan pelanggan selalu memberikan yang terbaik dalam pelayanan . pokok nya shopee selalu memberikan pelayanan dengan baik ."
106,"neutral","kalau ada permasalahan di toko pedia bisa langsung terselesaikan dengan mudah dan cepat . pelayanan nya juga jelas . pusat panggilan yang harus dihubungi juga selalu aktif . memuaskan !"
107,"neutral","marketplace pilihan gue ya tokopedia - lah . toko pedia itu selalu berusaha memberi pelayanan terbaik buat semua pengguna nya . kalau ada keluhan juga pasti langsung ditanggapi . salut ."
108,"neutral","terima kasih atas tanggapan dari 2 keluhan yang saya alami mengenai hilang nya kuota data saya . terima kasih xl karena sudah betul-betul menanggapi dan memberikan solusi yang sangat memuaskan atas keluhan-keluhan saya . saya jadi merasa sangat terbantu"
109,"neutral","terima kasih kembali . oh iya garuda dan traveloka cepat respons . mantap dan keren ."
110,"neutral","mantap . terima kasih atas proses pengembalian dana yang cepat . waktu maksimal 90 hari tapi baru satu hari sudah ditransfer . 2 thumbsup"
111,"neutral","e - tiket sudah saya terima . mantap ! reservasi cepat harga murah ! nomor 1 tiketing online indonesia ."
112,"neutral","air asia ini keren banget . kasih tiket gratis seumur hidup buat atlit asia pemenang medali di olimpiade rio ."
113,"neutral","top deh hari ini lion air cengkareng balikpapan on time sekali . mantap harus nya sepeti ini terus . sangat memuaskan ."
114,"neutral","kebiasaan paling keren dari tiki / jne adalah langsung memberi laporan kalau yang menerima paket tidak ada di tempat tanpa telepon dulu ke si penerima . mantap !"
115,"neutral","mantap sekali di hari libur tetap mengantarkan paket ke tujuan ! benar-benar terapkan semangat kemerdekaan id bdo !"
116,"neutral","pengiriman barang menggunakan jne sangat memuaskan . tanggal sampai pengiriman barang sesuai . pelayanan sangat ramah . harga juga sangat masuk akal dan terjangkau ."
117,"neutral","daftar harga dispenser 2018 terbaik yang ada di blibli.com memuat banyak produk . salah satu nya adalah miyako wdp - 200 dispenser . produk ini merupakan dispenser dengan penempatan galon di bawah sehingga anda tidak perlu mengangkat galon saat akan mengisi air ."
118,"neutral","kami segenap direksi dan karyawan pt smartplus consulting indonesia mengucapkan selamat hari raya idul fitri 1439 h ."
119,"neutral","sudahlah . ini negara demokrasi . jangan saling membual . masing-masing punya pilihan . pilih prabowo minggu . tidak mau pilih jokowi juga tidak apa-apa . bebas ."
120,"neutral","siarin bola asian games lewat parabola dong . puluhan juta pasang mata di luar jawa yang pakai parabola pasti kecewa kalau tidak bisa menonton ."
121,"neutral","ada tiga tahap . pertama harus unlock bootloader terus pasang twrp terus robot deh xiaomi kamu tipe berapa ya ? soal nya suka beda gitu loh"
122,"neutral","di indonesia pilihan brand smartphone kan melimpah . kalau tidak suka cara xiaomi menjalankan bisnis nya ya tinggal pilih brand lain . dibawa santai saja ."
123,"neutral","pendaftar towel-towel lagi g7 thinq membludak hingga 3x kapasitas tempat . ke depan nya bakal segera ada towel-towel huawei nova 3i dan mungkin samsung galaxy note 9 ."
124,"neutral","di depan sana masih ada kompetisi foto dengan tema morning feel ."
125,"neutral","oke . saya akan segera menuju ke cabang bca terdekat ."
126,"neutral","mau tanya apa nomer ini 622129265555 benar nomer kantor bca jakarta yang menangani kartu kredit ? saya tunggu jawaban nya ya"
127,"neutral","selamat siang . kamu bisa menggunakan tarif ramai-ramai untuk rombongan serta memanfat promo cashback dari rekanan bank seperti bank bri dan bca ."
128,"neutral","hari ini rshs berusia 89 tahun ."
129,"neutral","kami ingin mengumumkan bahwa mal bom kini hadir di shopee mal !"
130,"neutral","sebentar lagi asian games 2018 dimulai nih ! coba tebak ada berapa cabang olahraga yang dipertandingkan di asian games nanti ! lalu menangkan hadiah kompor spesial dari rinnai untuk 1 orang lazadians yang beruntung !"
131,"neutral","pagi ini pemkab pemalang melalui menyelenggarakan kegiatan launching sistem layanan informasi publik secara online dan rakor ppid di salah satu hotel di pemalang 10 / 7 / 2018 ."
132,"neutral","presiden harapkan menpar ri dan menko untuk mengajak pelaku pariwisata baik hotel maupun maskapai penerbangan untuk juga diajak memberikan informasi mempromosikan wisata di indonesia khusus nya bali ."
133,"neutral","gubernur dki jakarta anies baswedan membentuk tim evaluasi tata kelola air minum . pembentukan tim ini tertuang dalam keputusan gubernur nomor 1149 tahun 2018 yang ditandatangani 10 agustus 2018 . tim ini diketuai sekretaris daerah saefullah dengan wakil ketua asisten pembangunan dan lingkungan hidup yusmada faizal ."
134,"neutral","dia tidak pantas jadi pemimpin negara ini ."
135,"neutral","pelayanan di supermarket itu payah ."
136,"neutral","dia tidak cocok pakai baju mahal karena dari sana nya memang sudah kelihatan kayak orang miskin ."
137,"neutral","saya tidak mau bicara lagi sama orang bodoh kayak dia ."
138,"neutral","ah persija mah cupu ."
139,"neutral","persija cuma bisa mencari ribut saja kalau lagi main di lapangan . main nya tidak jago sama sekali ."
140,"neutral","memang masih zaman ya ngomong pakai kode-kodean ? tidak suka banget gue sama orang yang kayak gitu ."
141,"neutral","harus nya pop ditenggelamkan di indonesia karena cuma bikin anak muda lupa agama ."
142,"neutral","entah kenapa gue enggak suka banget sama politisi yang bisa ngemis-ngemis suara rakyat dengan manfaatkan harga diri ulama ."
143,"neutral","produk lokal memang cetek ."
144,"neutral","band di indonesia tidak berkualitas dah ."
145,"neutral","netijen mulut nya sampah semua . tidak berfaedah ."
146,"neutral","menurut gue sih indonesia bakal susah bangkit kalau isi otak penduduk nya gitu-gitu aja ."
147,"neutral","sandi uno tidak bertanggung jawab banget deh sama jakarta ."
148,"neutral","pemain persib main nya jelek ."
149,"neutral","artis cowok pop banci semua ."
150,"neutral","harga baju di ramayana tidak sebanding sama kualitas baju nya ."
151,"neutral","model baju yang ada di matahari tidak sebagus model baju di ramayana ."
152,"neutral","bodoh banget itu bocah tidak punya otak mengajak jokowi berantem ."
153,"neutral","sinyal xl jelek banget di sini ."
154,"neutral","sumpah ya kesel banget melihat orang yang sok tahu kayak anies ."
155,"neutral","di antara mata kuliah yang ada gue paling tidak suka sama statistika ."
156,"neutral","orang yang pakai kacamata itu terlihat cupu ."
157,"neutral","sinetron di indonesia mana ada yang bagus ."
158,"neutral","gue enggak suka anggun jadi duta shampoo ."
159,"neutral","kesian sheila on 7 tenggelem sekarang ."
160,"neutral","semua program yang ada ya kuya nya tidak pernah berfaedah ."
161,"neutral","its tidak ada apa-apa nya kalau dibandingkan itb ."
162,"neutral","gue enggak suka itu sama orang-orang yang pakai alasan agama buat menang di dunia politik ."
163,"neutral","harga telepon genggam vivo y71 kemahalan padahal telepon genggam nya tidak bagus-bagus amat ."
164,"neutral","gue bersyukur jokowi bakal jadi presiden selama sepuluh tahun ."
165,"neutral","banyak nilai positif yang bisa diambil dari jokowi ."
166,"neutral","gue suka banget matematika dari dulu karena mengasah otak jadi cerdas ."
167,"neutral","cinta banget sama iko uwais apalagi kalau lagi main film ."
168,"neutral","recheese nabati yang keju enak banget ."
169,"neutral","tidak tahu kenapa gue senang banget bisa tinggal di jakarta ."
170,"neutral","yang gue suka dari indonesia adalah budaya nya yang kental banget ."
171,"neutral","lagu-lagu indie itu selalu enak didenger ."
172,"neutral","genre musik paling asik menurut aku sih jazz ."
173,"neutral","sebenarnya nilai di dalam pancasila itu sudah sesuai banget sama cita-cita masyarakat indonesia . pancasila sangat meninggikan kepentingan bersama . karena itu gue sangat cinta dengan pancasila dan indonesia ."
174,"neutral","gue paling suka tisu merek paseo karena lembut banget ."
175,"neutral","laptop lenovo nomor 1 sih buat gue ."
176,"neutral","cemilan terenak menurut gue itu adalah kacang kuaci merek rebo ."
177,"neutral","karya anak bangsa indonesia di bidang teknologi selalu membanggakan ."
178,"neutral","salut banget sih sama pemimpin yang selalu bisa melihat poin plus yang ada di diri orang-orang di sekitar nya ."
179,"neutral","gue lebih milih makan di restoran yang bersih dan makanan nya enak kayak di ampera ."
180,"neutral","bca keren sih karena sekarang sudah bisa medeteksi identitas orang cuma dengan ngedenger suara nya ."
181,"neutral","paling suka sama orang yang tidak pernah mengeluh kalau lagi kerja ."
182,"neutral","bangga dan salut buat dokter yang rela tidak dibayar buat turun jangankan korban gempa di lombok ."
183,"neutral","gue cuma mau dipimpin sama jokowi ."
184,"neutral","kopi paling enak menurut gue torabika ."
185,"neutral","gila sih rasa iga bakar di iga bakar si jangkung terbaik parah ."
186,"neutral","bandung itu kota paling nyaman buat ditempatkan ."
187,"neutral","aku bangga jadi anak indonesia ."
188,"neutral","salut deh sama keberanian bu susi ."
189,"neutral","fasilitas di hotel santika memang terbaik ."
190,"neutral","alun-alun bandung nyaman banget buat nongkrong-nongkrong sama keluarga atau teman ."
191,"neutral","ayam sama kentang mcd tidak ada yang bisa mengalahkan ."
192,"neutral","mocha float kfc itu minuman terenak yang pernah gue rasain ."
193,"neutral","mal terasik di bandung menurut gue pvj sih ."
194,"neutral","semua rasa ayam di wingstop gue suka ."
195,"neutral","indomie goreng rasa rendang rasanya enak banget . enak banget !"
196,"neutral","keren pemain-pemain bola di indonesia makin punya skill ."
197,"neutral","di indonesia lagi banyak bencana ."
198,"neutral","kata nya lagi banyak promo di shopee ."
199,"neutral","gojek fitur nya makin banyak ."
200,"neutral","prabowo sama sandi maju jadi capres dan cawapres indonesia tahun 2019 ."
201,"neutral","jokowi milih dengan ruh amin jadi cawapres nya ."
202,"neutral","hotel bintang 5 yang ada di bogor salah satu nya hotel salak ."
203,"neutral","sekarang transmart buka juga di bogor ."
204,"neutral","kata nya di pasteur bakal dibangun transmart yang kayak di buah batu itu ."
205,"neutral","bogor memang suka macet tiap akhir pekan . melelahkan ."
206,"neutral","car free hari di jalan sudirman bogor sudah tidak ada ."
207,"neutral","di istana bogor itu dipelihara banyak rusa tutul peninggalan penjajah kata nya sih ."
208,"neutral","kemajuan teknologi di indonesia makin ke sini makin berkembang ."
209,"neutral","bali punya banyak pulau yang bisa dikunjungi ."
210,"neutral","wortel mengandung vitamin a yang bisa jaga kesehatan mata ."
211,"neutral","jangan lupa minum air mineral 8 -- 10 gelas per hari nya ."
212,"neutral","sekarang lagi musim durian ."
213,"neutral","youngle nya setelah berantem sama penggemar kpop ."
214,"neutral","belakangan ini sudah terjadi dua kali gempa di lombok ."
215,"neutral","kabar tenggelam nya kami sinar bangun di danau toba sudah tidak pernah terdengar lagi ."
216,"neutral","jumlah korban tenggelam nya kami sinar bangun itu kurang lebih 160 - an orang ."
217,"neutral","sudah hampir 350 orang yang meninggal karena gempa di lombok kemarin ."
218,"neutral","tukang bubur naik haji sudah stop produksi ."
219,"neutral","ada satu relawan di lombok yang meninggal dunia ."
220,"neutral","bikin puisi bisa bikin hati yang tadinya banyak masalah jadi lebih tenang ."
221,"neutral","kalau lapar ya baiknya makan ."
222,"neutral","kerja dari pagi sampai pagi lagi itu cuma bakal menyiksa diri sendiri . jadi tidak usah berlebihan kalau soal kerjaan ."
223,"neutral","perempuan yang malang itu sekarang sudah tutup usia ."
224,"neutral","cerita si kancil itu identik dengan kecerdikan seorang kancil menyelesai masalah yang ada di hadapan nya ."
225,"neutral","kalau mau beli obat-obatan datang saja ke kimia farma karena di sana lengkap dan harga terjangkau ."
226,"neutral","buah mangga yang kemarin gue lihat di pohon kayak nya sudah dimakan sama kelelawar ."
227,"neutral","semua perempuan suka dikasih bunga atau puisi sama pacar nya ."
228,"neutral","tidur yang cukup tiap hari nya bisa bikin badan segar ."
229,"neutral","baiknya orang yang dikasih kekuasaan di indonesia itu adalah orang yang paling tahu apa yang dibutuhkan sama rakyat ."
230,"neutral","sandiaga uno salah satu orang terkaya di indonesia ."
231,"neutral","di bandung banyak tempat yang bisa didatangkan buat wisata sama keluarga yang tempat nya bagus-bagus ."
232,"neutral","indonesia punya banyak banget suku yang beragam budaya nya dan itu mencerminkan kalau negara kita sangat kaya ."
233,"neutral","kalau jadi pemimpin itu harus bisa adil ."
234,"neutral","jadi pemimpin di indonesia itu banyak tantangan nya ."
235,"neutral","salah satu tempat yang banyak didatangkan di bogor itu kebun raya bogor ."
236,"neutral","kemarin aku setelah nyobain kopi nya warung kopi nako ."
237,"neutral","kata nya tidur yang baik itu minimal enam jam sehari ."
238,"neutral","indonesia itu ada di benua asia ."
239,"neutral","salah satu kegemaran anak remaja indonesia sekarang adalah mendengar kpop ."
240,"neutral","melihat warna hijau bisa bikin mata jadi lebih santai ."
241,"neutral","bondan winarno yang suka bilang maknyus sekarang sudah tiada ."